"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","Создание заказа","4","0","Создание заказа с авторизацией и корректными ингредиентами","0"
"0","","0","Получение заказов пользователя","1","0","Получение заказов неавторизованного пользователя","0"
"0","","0","Регистрация пользователя","1","0","Создание уникального пользователя","0"
"0","","0","Регистрация пользователя","1","0","Регистрация уже существующего пользователя","0"
"0","","0","Авторизация пользователя","1","0","Авторизация с неверным паролем","0"
"0","","0","Изменение данных пользователя","3","0","Изменение данных с авторизацией","0"
"0","","0","Изменение данных пользователя","3","0","Изменение данных без авторизации","0"
"0","","0","Получение заказов пользователя","1","0","Получение заказов авторизованного пользователя","0"
"0","","0","Создание заказа","1","0","Создание заказа без авторизации","0"
"0","","0","Создание заказа","1","0","Создание заказа без ингредиентов","0"
"0","","0","Регистрация пользователя","3","0","Регистрация без обязательного поля","0"
"0","","0","Авторизация пользователя","1","0","Авторизация с неверным логином и паролем","0"
"0","","0","Авторизация пользователя","1","0","Авторизация существующего пользователя","0"
"0","","0","Создание заказа","1","0","Создание заказа с неверным хешем ингредиента","0"
