"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2434","Тест для числа ингредиентов: 6","tests","Sun Mar 16 10:39:59 GET 2025","passed","Sun Mar 16 10:40:01 GET 2025","TestOrderCreation","test_order_creation","",""
"","290","test_get_user_orders_wo_authorization","tests","Sun Mar 16 10:40:15 GET 2025","passed","Sun Mar 16 10:40:16 GET 2025","TestUserOrders","test_user_orders","",""
"","1063","test_create_user_success","tests","Sun Mar 16 10:40:16 GET 2025","passed","Sun Mar 16 10:40:17 GET 2025","TestUserRegistration","test_user_registration","",""
"","287","test_create_existing_user","tests","Sun Mar 16 10:40:17 GET 2025","passed","Sun Mar 16 10:40:17 GET 2025","TestUserRegistration","test_user_registration","",""
"","355","test_login_user_incorrect_password","tests","Sun Mar 16 10:40:10 GET 2025","passed","Sun Mar 16 10:40:11 GET 2025","TestUserLogin","test_user_login","",""
"","375","Тест для поля: password","tests","Sun Mar 16 10:40:22 GET 2025","passed","Sun Mar 16 10:40:23 GET 2025","TestUserUpdate","test_user_update","",""
"","290","Тест для поля: name","tests","Sun Mar 16 10:40:23 GET 2025","passed","Sun Mar 16 10:40:24 GET 2025","TestUserUpdate","test_user_update","",""
"","2917","test_get_user_orders_success","tests","Sun Mar 16 10:40:12 GET 2025","passed","Sun Mar 16 10:40:15 GET 2025","TestUserOrders","test_user_orders","",""
"","304","Тест для поля: name","tests","Sun Mar 16 10:40:19 GET 2025","passed","Sun Mar 16 10:40:20 GET 2025","TestUserUpdate","test_user_update","",""
"","296","test_create_order_wo_authorization","tests","Sun Mar 16 10:40:05 GET 2025","passed","Sun Mar 16 10:40:06 GET 2025","TestOrderCreation","test_order_creation","",""
"","285","test_create_order_wo_ingredients","tests","Sun Mar 16 10:40:06 GET 2025","passed","Sun Mar 16 10:40:06 GET 2025","TestOrderCreation","test_order_creation","",""
"","2374","Тест для числа ингредиентов: 3","tests","Sun Mar 16 10:39:55 GET 2025","passed","Sun Mar 16 10:39:58 GET 2025","TestOrderCreation","test_order_creation","",""
"","305","Тест для поля: password","tests","Sun Mar 16 10:40:19 GET 2025","passed","Sun Mar 16 10:40:19 GET 2025","TestUserRegistration","test_user_registration","",""
"","284","Тест для поля: password","tests","Sun Mar 16 10:40:24 GET 2025","passed","Sun Mar 16 10:40:24 GET 2025","TestUserUpdate","test_user_update","",""
"","328","Тест для поля: email","tests","Sun Mar 16 10:40:18 GET 2025","passed","Sun Mar 16 10:40:19 GET 2025","TestUserRegistration","test_user_registration","",""
"","2292","Тест для числа ингредиентов: 10","tests","Sun Mar 16 10:40:02 GET 2025","passed","Sun Mar 16 10:40:05 GET 2025","TestOrderCreation","test_order_creation","",""
"","285","Тест для поля: email","tests","Sun Mar 16 10:40:21 GET 2025","passed","Sun Mar 16 10:40:21 GET 2025","TestUserUpdate","test_user_update","",""
"","304","test_login_user_incorrect_data","tests","Sun Mar 16 10:40:10 GET 2025","passed","Sun Mar 16 10:40:10 GET 2025","TestUserLogin","test_user_login","",""
"","297","Тест для поля: name","tests","Sun Mar 16 10:40:19 GET 2025","passed","Sun Mar 16 10:40:19 GET 2025","TestUserRegistration","test_user_registration","",""
"","284","Тест для поля: email","tests","Sun Mar 16 10:40:24 GET 2025","passed","Sun Mar 16 10:40:24 GET 2025","TestUserUpdate","test_user_update","",""
"","369","test_login_user_success","tests","Sun Mar 16 10:40:09 GET 2025","passed","Sun Mar 16 10:40:09 GET 2025","TestUserLogin","test_user_login","",""
"","297","test_create_order_with_invalid_ingredient","tests","Sun Mar 16 10:40:07 GET 2025","passed","Sun Mar 16 10:40:08 GET 2025","TestOrderCreation","test_order_creation","",""
"","2337","Тест для числа ингредиентов: 1","tests","Sun Mar 16 10:39:52 GET 2025","passed","Sun Mar 16 10:39:54 GET 2025","TestOrderCreation","test_order_creation","",""
